1, 1, Erzeugung,164499
2, 1, Erzeugung,164499
3, 1, Erzeugung,164499
4, 1, Erzeugung,164499
5, 1, Erzeugung,164499
6, 1, Erzeugung,164499
7, 1, Erzeugung,164499
8, 1, Erzeugung,164499
9, 1, Erzeugung,164499
1, 2, Stein und Braunkohle,10528
2, 2, Rohoel,73038
3, 2, Naturgas,62674
4, 2, Kernenergie,13489
5, 2, erneuerbare Energien,4770
6, 2, erneuerbare Energien,4770
7, 2, erneuerbare Energien,4770
8, 2, erneuerbare Energien,4770
9, 2, erneuerbare Energien,4770
5, 3, Sonnenenergie,57
6, 3, Biomasse und Abfaelle,3621
7, 3, geothermische Energie,0
8, 3, Wasserkraft,445
9, 3, Windkraft,611
