1, 1, Erzeugung,3584
2, 1, Erzeugung,3584
3, 1, Erzeugung,3584
4, 1, Erzeugung,3584
5, 1, Erzeugung,3584
6, 1, Erzeugung,3584
7, 1, Erzeugung,3584
8, 1, Erzeugung,3584
9, 1, Erzeugung,3584
1, 2, Stein und Braunkohle,18
2, 2, Rohoel,129
3, 2, Naturgas,0
4, 2, Kernenergie,2552
5, 2, erneuerbare Energien,882
6, 2, erneuerbare Energien,882
7, 2, erneuerbare Energien,882
8, 2, erneuerbare Energien,882
9, 2, erneuerbare Energien,882
5, 3, Sonnenenergie,0
6, 3, Biomasse und Abfaelle,837
7, 3, geothermische Energie,1
8, 3, Wasserkraft,35
9, 3, Windkraft,11
