1, 1, Erzeugung,10022
2, 1, Erzeugung,10022
3, 1, Erzeugung,10022
4, 1, Erzeugung,10022
5, 1, Erzeugung,10022
6, 1, Erzeugung,10022
7, 1, Erzeugung,10022
8, 1, Erzeugung,10022
9, 1, Erzeugung,10022
1, 2, Stein und Braunkohle,8348
2, 2, Rohoel,60
3, 2, Naturgas,10
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,1593
6, 2, erneuerbare Energien,1593
7, 2, erneuerbare Energien,1593
8, 2, erneuerbare Energien,1593
9, 2, erneuerbare Energien,1593
5, 3, Sonnenenergie,174
6, 3, Biomasse und Abfaelle,971
7, 3, geothermische Energie,18
8, 3, Wasserkraft,285
9, 3, Windkraft,148
