1, 1, Erzeugung,4441
2, 1, Erzeugung,4441
3, 1, Erzeugung,4441
4, 1, Erzeugung,4441
5, 1, Erzeugung,4441
6, 1, Erzeugung,4441
7, 1, Erzeugung,4441
8, 1, Erzeugung,4441
9, 1, Erzeugung,4441
1, 2, Stein und Braunkohle,0
2, 2, Rohoel,0
3, 2, Naturgas,0
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,4441
6, 2, erneuerbare Energien,4441
7, 2, erneuerbare Energien,4441
8, 2, erneuerbare Energien,4441
9, 2, erneuerbare Energien,4441
5, 3, Sonnenenergie,36
6, 3, Biomasse und Abfaelle,3144
7, 3, geothermische Energie,187
8, 3, Wasserkraft,586
9, 3, Windkraft,493
