1, 1, Erzeugung,4217
2, 1, Erzeugung,4217
3, 1, Erzeugung,4217
4, 1, Erzeugung,4217
5, 1, Erzeugung,4217
6, 1, Erzeugung,4217
7, 1, Erzeugung,4217
8, 1, Erzeugung,4217
9, 1, Erzeugung,4217
1, 2, Stein und Braunkohle,3462
2, 2, Rohoel,0
3, 2, Naturgas,0
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,755
6, 2, erneuerbare Energien,755
7, 2, erneuerbare Energien,755
8, 2, erneuerbare Energien,755
9, 2, erneuerbare Energien,755
5, 3, Sonnenenergie,0
6, 3, Biomasse und Abfaelle,742
7, 3, geothermische Energie,0
8, 3, Wasserkraft,2
9, 3, Windkraft,11
