1, 1, Erzeugung,13561
2, 1, Erzeugung,13561
3, 1, Erzeugung,13561
4, 1, Erzeugung,13561
5, 1, Erzeugung,13561
6, 1, Erzeugung,13561
7, 1, Erzeugung,13561
8, 1, Erzeugung,13561
9, 1, Erzeugung,13561
1, 2, Stein und Braunkohle,0
2, 2, Rohoel,0
3, 2, Naturgas,0
4, 2, Kernenergie,11757
5, 2, erneuerbare Energien,1804
6, 2, erneuerbare Energien,1804
7, 2, erneuerbare Energien,1804
8, 2, erneuerbare Energien,1804
9, 2, erneuerbare Energien,1804
5, 3, Sonnenenergie,9
6, 3, Biomasse und Abfaelle,1705
7, 3, geothermische Energie,4
8, 3, Wasserkraft,34
9, 3, Windkraft,54
