1, 1, Erzeugung,29059
2, 1, Erzeugung,29059
3, 1, Erzeugung,29059
4, 1, Erzeugung,29059
5, 1, Erzeugung,29059
6, 1, Erzeugung,29059
7, 1, Erzeugung,29059
8, 1, Erzeugung,29059
9, 1, Erzeugung,29059
1, 2, Stein und Braunkohle,6974
2, 2, Rohoel,4795
3, 2, Naturgas,8979
4, 2, Kernenergie,2906
5, 2, erneuerbare Energien,5405
6, 2, erneuerbare Energien,5405
7, 2, erneuerbare Energien,5405
8, 2, erneuerbare Energien,5405
9, 2, erneuerbare Energien,5405
5, 3, Sonnenenergie,0
6, 3, Biomasse und Abfaelle,3912
7, 3, geothermische Energie,27
8, 3, Wasserkraft,1479
9, 3, Windkraft,0
