1, 1, Erzeugung,30266
2, 1, Erzeugung,30266
3, 1, Erzeugung,30266
4, 1, Erzeugung,30266
5, 1, Erzeugung,30266
6, 1, Erzeugung,30266
7, 1, Erzeugung,30266
8, 1, Erzeugung,30266
9, 1, Erzeugung,30266
1, 2, Stein und Braunkohle,4207
2, 2, Rohoel,121
3, 2, Naturgas,0
4, 2, Kernenergie,15224
5, 2, erneuerbare Energien,10714
6, 2, erneuerbare Energien,10714
7, 2, erneuerbare Energien,10714
8, 2, erneuerbare Energien,10714
9, 2, erneuerbare Energien,10714
5, 3, Sonnenenergie,354
6, 3, Biomasse und Abfaelle,5562
7, 3, geothermische Energie,11
8, 3, Wasserkraft,2026
9, 3, Windkraft,2765
