1, 1, Erzeugung,84
2, 1, Erzeugung,84
3, 1, Erzeugung,84
4, 1, Erzeugung,84
5, 1, Erzeugung,84
6, 1, Erzeugung,84
7, 1, Erzeugung,84
8, 1, Erzeugung,84
9, 1, Erzeugung,84
1, 2, Stein und Braunkohle,0
2, 2, Rohoel,0
3, 2, Naturgas,0
4, 2, Kernenergie,0
5, 2, erneuerbare Energien,84
6, 2, erneuerbare Energien,84
7, 2, erneuerbare Energien,84
8, 2, erneuerbare Energien,84
9, 2, erneuerbare Energien,84
5, 3, Sonnenenergie,2
6, 3, Biomasse und Abfaelle,66
7, 3, geothermische Energie,0
8, 3, Wasserkraft,11
9, 3, Windkraft,5
